molecule,logp,dataset_type
C#CC1(OC(C)=O)CCCCC1C(C)CC,4.63,test
C#CC1(OC(N)=O)CCCCC1,1.93,train
C#CC1(OC(O)C(Br)(Br)Br)CCCCC1,3.09,train
C#CC1=CC(C)(C)N(C)C(C)(C)C1,2.74,train
C#CCBr,1.39,validation
C#CCC(C(=O)NC(C=CC(=O)OCC)CC1CCNC1=O)n1cccc(NC(=O)c2cc(C)on2)c1=O,1.75,test
C#CCC(C(=O)OCCN(CC)CC)(c1ccccc1)c1ccccc1,5.06,test
C#CCC(C)C,2.44,train
C#CCC(Cl)(Cl)Cl,2.89,train
C#CCC(Cl)Cl,1.97,validation
C#CCC(O)(CC#C)c1cccnc1,1.29,train
C#CCC(O)(Cc1ccccc1)c1ccccn1,1.87,train
C#CCC(O)(Cc1ccccc1)c1cccnc1,1.87,train
C#CCC(O)(c1ccc(C(C)C)cc1)c1cccnc1,2.16,test
C#CCC(O)(c1ccc(C)cc1)c1ccccn1,1.83,train
C#CCC(O)(c1ccc(C)cc1)c1cccnc1,1.83,train
C#CCC(O)(c1ccc(F)cc1)c1cccnc1,1.78,train
C#CCC(O)(c1cccnc1)C1CCCCC1,2.09,test
C#CCC(O)(c1cccnc1)c1ccc(Cl)c(Cl)c1,2.42,train
C#CCC(O)(c1cccnc1)c1ccc(Cl)cc1Cl,2.29,train
C#CCC(O)(c1cccnc1)c1ccc2ccccc2c1,2.14,train
C#CCC(O)c1cccnc1,1.21,train
C#CCC1(OC(N)=O)CCCCC1,2.42,train
C#CCC1(c2cccc(OC)c2)CCN(C)C1,3.07,train
C#CCC1=C(C)C(OC(=O)C2C(C=C(C)C)C2(C)C)CC1=O,4.49,validation
C#CCC=C(C)O,0.58,test
C#CCCC#CC#CCCCCO,3.1,test
C#CCCC(=C)O,0.58,test
C#CCCC(=O)N(C)c1ccc(S(=O)(=O)N(C)C)cc1,0.88,test
C#CCCC(=O)O,0.79,test
C#CCCC(C)=O,0.58,train
C#CCCC(C)C,2.93,train
C#CCCCC,2.73,train
C#CCCCCC,3.01,train
C#CCCCCC#C,2.73,train
C#CCCCCCC,3.5,train
C#CCCCCCC#C,3.22,test
C#CCCCCCCC,3.99,validation
C#CCCCCCCC(=O)O,2.75,test
C#CCCCCCCCC,4.48,train
C#CCCCCCCCC#C,4.2,train
C#CCCCCCCCCC,4.97,train
C#CCCCCCCCCC(=O)O,3.74,train
C#CCCCCCCCCCC,5.46,train
C#CCCCCCCCCCCCCC,6.94,validation
